CustomerID,Churn_Probability,predicted_90d_clv,Recency,Frequency,Monetary
16532,0.5306346840662051,1260.4129431378728,45,2,4516.8
17353,0.5119444691408325,1086.8104526809093,39,2,1740.0
16692,0.6179133691817397,735.0469841491031,166,2,1276.0
13680,0.5552376814084198,734.9250597240894,247,2,2391.59
13791,0.5016206506898476,650.6444698013762,37,2,1516.0
18142,0.5154187103921376,608.0955428019574,67,2,1019.52
16698,0.5972504461551233,554.4594266596254,136,2,1998.0
14001,0.5451045496555317,439.7406545348524,142,2,1309.14
15073,0.515537150627578,428.9266161636692,95,2,861.96
13441,0.509810449606115,406.469255685668,1,1,296.64
12879,0.5216437222229587,406.469255685668,1,1,140.5
14824,0.5128920854149519,406.469255685668,1,1,441.91
